"HolderAddress","Balance","PendingBalanceUpdate"
"0xc7df6584d244eda77fa840aed120e36e26ee9bc1","100","No"
"0xb6e32c75a2083a38f6cce6e65756c0bf86d84200","99.312651490696064826","No"
"0xaea283989e4960070913e3d87c5419c545ff56c7","94.978487559519374316","No"
"0x77e007e3261272dc985afde6b10ac60c7c137c05","94.299075403947467984","No"
"0xd18febb52b1df65e049da0a3c1f4aa3d301bcd11","93.788544281437869966","No"
"0x3a8287e559edeb1a54de388597e51d4803124b60","92.997331872019466412","No"
"0x7c019b7834722f69771cd4e821afc8e717baaab5","92.427460880572043072","No"
"0xe83068e80400d6c89121fb1b384a5612f19d9790","91","No"
"0x5c7f1e11720e9bbdec295f6cd3d96e3aaca7f374","80.58","No"
"0xc8648139edbb3079dd5bfdf52aa24d6181dea2d2","80","No"
"0xb0b5ff4bec3971dc57138c75e7abd0556061dfd2","78.439630051787520367","No"
"0x97b4aa139ebf47bea8e65aee836dce4ce880af75","77.480979045073908","No"
"0x70044e640d79c022020849811aecd7c8a878eab8","72","No"
"0xbf4c1bf401f58dfa371770558f37cae21a002506","71.245329929645531929","No"
"0xb5087f95643a9a4069471a28d32c569d9bd57fe4","69.704967426864333565","No"
"0x64ba4d504eb90eda4d49d31abd52367012017c0a","67.65252492001423","No"
"0xac1c487f78564dffb2c94d6f28edf04e18843004","66.967957272034260149","No"
"0xecb456ea5365865ebab8a2661b0c503410e9b347","61.979095282203178324","No"
"0xb1b0cd415561c466b075af9ee686b9e11074a490","61","No"
"0x9250c97d2b38134e55a754507570be22b8b351c2","55","No"
"0xf5b55b01006864b4e2f977e637b7fb9801118f81","52.921396256947668152","No"
"0x82e65918d19b1723c6367d1d5226d3713f38c3ec","52.594660169323977071","No"
"0xdf98de9e643c3ca7553f162ead029907ad2dca2d","51.110023","No"
"0xceb0482d53f3234e9f3ee396009cd576847eb697","50.7419819","No"
"0x7d9115f3a37d1ab1d6efd9854b032dc733a096c7","50.64611011","No"
"0x588e805cf6363f9060f34231314959a08dc2f27d","50.1","No"
"0x0c68ee883c540ed63b44b4d6f122f34d71107f4c","50","No"
"0x652dff48f6ed3b6a0c9213107b48f83fe1b7a509","50","No"
"0x3316106f2bbdd4b64d77e244529c7016286285e2","50","No"
"0xb7beea762006bba7be874943d087cd0322aba35e","50","No"
"0x207354c355374f3873a7cff7688b42b2c99f6442","50","No"
"0x2329cf68d04968e471e41461bb1c6479ea260209","49.292697151769881956","No"
"0x42dc9a40282f53bb703cd9fd45442a4df03f02df","47.960449152639007388","No"
"0xa3deae3b139229047760c2f54bde5016475dcafe","46","No"
"0xfba7759a0c93491e58548fb9482b9b8e60a558a0","41.122681494485444514","No"
"0x885e30bad65ab07c07625ecc3da6dd12263307a0","41","No"
"0x85f1d5171b79702b2f1bc4a90b8b44b788f20205","40","No"
"0xb98133e2e4533a5baa999de5cb85e3939a807b97","35.75804512518652966","No"
"0xe6426915f7bfa6dd7ea215715e643b4c1adcfbd5","33.728475291676207465","No"
"0x97ae58e8cb525528fc4d951e79b747b9623d7135","33.70922736498170219","No"
"0xe789c5566b53546d46a0af48a4bd3f062d1fefd1","32.204980329326617017","No"
"0x30cb5402a8b9ea73a32d4750d46ad721ffbb53d9","32","No"
"0xe0e6111985a78e99596fe8100c07ba8a8403060f","31.638039783868265094","No"
"0xd1746bfa06c093af93cabb4c31f818d47989b821","30.812036163498456848","No"
"0xf9e60728eb18583108330ed798c5d368875c2592","30","No"
"0x25887cc9d159116fe8b7c0be5c8ca0c64cdcf6b4","30","No"
"0x18ec0a6e18e5bc3784fdd3a3634b31245ab704f6","30","No"
"0x3544212b0e0f99e8ea205c6dab7ed874c3683d06","28.727077180233464852","No"
"0x615eb88efa943e2b6292e3f3d200b92e2f51d61d","28.43","No"
"0xf07ccf37001c3142cfe4ba22cdfe6d6204babdb1","28.278812050281154918","No"
"0x21a2ff1b99abe72992f52fe7edf282a99795cf6a","26.370687659530489517","No"
"0xb634316e06cc0b358437cbadd4dc94f1d3a92b3b","26.106555851716734075","No"
"0x7693638a7a7963bf65c7b4dc168280ececa7e8dc","25.738082895245971239","No"
"0x7db9a4ba15286c33f165856397d2591c1d1bb5d6","25","No"
"0x82ce4b889410e8348189b217213b578f4f1ff44c","25","No"
"0x5de8bcd464c3d69006786d486a2811de0c63fc57","25","No"
"0xab10aa5db0f7211f42a21f90929fcafd7a1a96d5","23.918086660733183957","No"
"0x35d0e078755cd84d3e0656caab417dee1d7939c7","23.0252146","No"
"0xbffcd0f63bb0e4f712482a6b141e886197a586c8","21.956150111387637631","No"
"0xeefd68e5508ff1c0b25c66b60628c2bcf25bb52a","20.821388944572435971","No"
"0xb7692961821c374c9261e13f00c13256ef7fa9fb","20.160394525299293466","No"
"0x33d0d38b7aa5c4ce77cd91955abe0e0ec0a3a1c0","20","No"
"0x787a33ee14c840f069fdec2ab610a5bbcb005146","20","No"
"0x076724beaf757e597e91cd3386e981e45fdbcd1f","20","No"
"0x439fc1af97ff8c15fe6c64805b19d37f9e25ed64","20","No"
"0xae40badcfcc3751b3457ab0dc539fd525a91edc3","20","No"
"0xde2346d98eb41a7fbf506e349ef2468d9a3ee8eb","20","No"
"0xda1d63dd380bf0a1558952e4f9a9fd10b99f1de0","20","No"
"0xe6c6191722f0dc5d811c65dc94d650015d8c1166","20","No"
"0x8664de2284fd0ee193e75feb4be571890ccd6cf0","20","No"
"0xb7134aaf4f4daa1a604a9c3880ad1f33f17ce35d","20","No"
"0x6f52ff815236ddee3edce5e9fae56a5b1cc02d8c","19.991299016623351834","No"
"0xfb9c8c03f043d04ada87ef5a659c207e4433a52a","19.796033160742289498","No"
"0x7b2e78d4dfaaba045a167a70da285e30e8fca196","19.001606844280391666","No"
"0x5bbffe7865984fb97235033c40834392bc436758","19","No"
"0xbb5f24da545df70452a87cdc180caf85980aeb6b","18","No"
"0x1bfd64ab61eacf714b2aa37347057203f3aca71f","17.26342809697680579","No"
"0x120cd96103fe0a7f3339c170cc535c4cb0fe5470","17","No"
"0xf2ac2e784ff9f1f4e1e13f2ae14b797ee49b4fab","15.22","No"
"0xc96219ed4045fd372c36434418ae8bfd397c92aa","15","No"
"0x861cc0dc8cbb1f89c8ae95cd064932825ae65daf","15","No"
"0x85cf60af5de795d1801a3c944f1d7917873ad01b","15","No"
"0x5951f2c0bc6976f227ed69705d8bf1c42677866f","15","No"
"0x643b352e6efa629bb50c623e5102d7f9bf4c3ad9","14.554607427941600918","No"
"0x78f5bb04abe7462f68df1d9e32e05eecc8951cd3","14.49","No"
"0x0ea9ddf020ce3bc13d508e7294fd8aca1cbae877","14.220101031234319969","No"
"0xf337c5791a47f676ede9303a2b1eb50f22469691","12.371951720588334799","No"
"0x9bf1d340cb7242c11667637ebfec230ff3706a24","12.37","No"
"0x4130d9c537bb5a6eb47e2f23fbc78f307cab95e1","12.284","No"
"0x21b0c58b96e27183b6d8141012053d44f010a54e","12","No"
"0x58ea34083bd7048a378a68b19ee8cbadd55a289e","11.14","No"
"0xd4d80094dc8c9a95bd64c527750d129d4b113e31","11","No"
"0x584f186eca041fd7f0e9830e8ce07f471ef54a85","11","No"
"0x143eb35646dd4a4756006d0cb2cb9109af951df9","11","No"
"0x39f032c9a3d81b59508aeabfc337628f5320d269","10","No"
"0x88642a6c578132dc5934be1c7bb76d8fe6b38a7f","10","No"
"0xaf0594582655ddd5bce8e04e2cc32b424f922e1f","10","No"
